Category Name,URL,Level
Animals & Pet Supplies,https://www.fruugo.co.uk/animals-pet-supplies/a-1,Level 1
Pet Supplies,https://www.fruugo.co.uk/pet-supplies/a-2,Level 2
Bird Supplies,https://www.fruugo.co.uk/bird-supplies/a-3,Level 3
Bird Cages & Stands,https://www.fruugo.co.uk/bird-cages-stands/a-4989,Level 4
Bird Food,https://www.fruugo.co.uk/bird-food/a-4990,Level 4
Bird Ladders & Perches,https://www.fruugo.co.uk/bird-ladders-perches/a-4991,Level 4
Bird Toys,https://www.fruugo.co.uk/bird-toys/a-4992,Level 4
Bird Treats,https://www.fruugo.co.uk/bird-treats/a-4993,Level 4
Bird Cage Accessories,https://www.fruugo.co.uk/bird-cage-accessories/a-7385,Level 4
Bird Cage Bird Baths,https://www.fruugo.co.uk/bird-cage-bird-baths/a-499954,Level 5
Bird Cage Food & Water Dishes,https://www.fruugo.co.uk/bird-cage-food-water-dishes/a-7386,Level 5
Bird Gyms & Playstands,https://www.fruugo.co.uk/bird-gyms-playstands/a-7398,Level 4
Cat Supplies,https://www.fruugo.co.uk/cat-supplies/a-4,Level 3
Cat Food,https://www.fruugo.co.uk/cat-food/a-3367,Level 4
Cat Beds,https://www.fruugo.co.uk/cat-beds/a-4433,Level 4
Cat Furniture,https://www.fruugo.co.uk/cat-furniture/a-4997,Level 4
Cat Litter,https://www.fruugo.co.uk/cat-litter/a-4999,Level 4
Cat Litter Boxes,https://www.fruugo.co.uk/cat-litter-boxes/a-5000,Level 4
Cat Furniture Accessories,https://www.fruugo.co.uk/cat-furniture-accessories/a-500059,Level 4
Cat Toys,https://www.fruugo.co.uk/cat-toys/a-5001,Level 4
Cat Treats,https://www.fruugo.co.uk/cat-treats/a-5002,Level 4
Cat Apparel,https://www.fruugo.co.uk/cat-apparel/a-5082,Level 4
Cat Litter Box Mats,https://www.fruugo.co.uk/cat-litter-box-mats/a-7142,Level 4
Cat Litter Box Liners,https://www.fruugo.co.uk/cat-litter-box-liners/a-8069,Level 4
Pet Doors,https://www.fruugo.co.uk/pet-doors/a-4497,Level 3
Pet Heating Pads,https://www.fruugo.co.uk/pet-heating-pads/a-499743,Level 3
Dog Supplies,https://www.fruugo.co.uk/dog-supplies/a-5,Level 3
Dog Food,https://www.fruugo.co.uk/dog-food/a-3530,Level 4
Dog Beds,https://www.fruugo.co.uk/dog-beds/a-4434,Level 4
Dog Diapers,https://www.fruugo.co.uk/dog-diapers/a-499900,Level 4
Dog Apparel,https://www.fruugo.co.uk/dog-apparel/a-5004,Level 4
Dog Toys,https://www.fruugo.co.uk/dog-toys/a-5010,Level 4
Dog Treats,https://www.fruugo.co.uk/dog-treats/a-5011,Level 4
Dog Houses,https://www.fruugo.co.uk/dog-houses/a-5094,Level 4
Dog Kennels & Runs,https://www.fruugo.co.uk/dog-kennels-runs/a-7274,Level 4
Dog Diaper Pads & Liners,https://www.fruugo.co.uk/dog-diaper-pads-liners/a-7372,Level 4
Dog Kennel & Run Accessories,https://www.fruugo.co.uk/dog-kennel-run-accessories/a-7428,Level 4
Dog Treadmills,https://www.fruugo.co.uk/dog-treadmills/a-8123,Level 4
Pet Carrier & Crate Accessories,https://www.fruugo.co.uk/pet-carrier-crate-accessories/a-500026,Level 3
Pet Bed Accessories,https://www.fruugo.co.uk/pet-bed-accessories/a-500084,Level 3
